timestamp,hero_slug,platform,mode,rank,appearance_rate,win_rate
2025-02-10T02:17:46.267566,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-10T02:17:46.267566,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-10T02:17:46.267566,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-10T02:17:46.267566,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-10T02:17:46.267566,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-10T02:17:46.267566,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-11T02:18:33.482903,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-11T02:18:33.482903,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-11T02:18:33.482903,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-11T02:18:33.482903,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-11T02:18:33.482903,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-11T02:18:33.482903,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-11T02:18:33.482903,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-11T02:18:33.482903,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-11T02:18:33.482903,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-11T02:18:33.482903,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-11T02:18:33.482903,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-11T02:18:33.482903,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-11T02:18:33.482903,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-11T02:18:33.482903,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-11T02:18:33.482903,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-11T02:18:33.482903,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-12T02:16:25.952097,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-12T02:16:25.952097,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-12T02:16:25.952097,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-12T02:16:25.952097,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-12T02:16:25.952097,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-12T02:16:25.952097,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-12T02:16:25.952097,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-12T02:16:25.952097,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-12T02:16:25.952097,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-12T02:16:25.952097,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-12T02:16:25.952097,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-12T02:16:25.952097,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-12T02:16:25.952097,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-12T02:16:25.952097,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-12T02:16:25.952097,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-12T02:16:25.952097,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-13T02:17:29.919779,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-13T02:17:29.919779,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-13T02:17:29.919779,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-13T02:17:29.919779,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-13T02:17:29.919779,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-13T02:17:29.919779,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-13T02:17:29.919779,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-13T02:17:29.919779,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-13T02:17:29.919779,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-13T02:17:29.919779,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-13T02:17:29.919779,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-13T02:17:29.919779,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-13T02:17:29.919779,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-13T02:17:29.919779,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-13T02:17:29.919779,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-13T02:17:29.919779,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-14T02:18:46.785840,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-14T02:18:46.785840,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-14T02:18:46.785840,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-14T02:18:46.785840,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-14T02:18:46.785840,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-14T02:18:46.785840,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-14T02:18:46.785840,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-14T02:18:46.785840,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-14T02:18:46.785840,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-14T02:18:46.785840,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-14T02:18:46.785840,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-14T02:18:46.785840,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-14T02:18:46.785840,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-14T02:18:46.785840,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-14T02:18:46.785840,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-14T02:18:46.785840,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-15T02:23:45.426628,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-15T02:23:45.426628,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-15T02:23:45.426628,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-15T02:23:45.426628,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-15T02:23:45.426628,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-15T02:23:45.426628,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-15T02:23:45.426628,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-15T02:23:45.426628,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-15T02:23:45.426628,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-15T02:23:45.426628,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-15T02:23:45.426628,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-15T02:23:45.426628,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-15T02:23:45.426628,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-15T02:23:45.426628,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-15T02:23:45.426628,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-15T02:23:45.426628,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-16T02:23:04.202147,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-16T02:23:04.202147,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-16T02:23:04.202147,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-16T02:23:04.202147,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-16T02:23:04.202147,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-16T02:23:04.202147,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-16T02:23:04.202147,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-16T02:23:04.202147,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-16T02:23:04.202147,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-16T02:23:04.202147,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-16T02:23:04.202147,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-16T02:23:04.202147,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-16T02:23:04.202147,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-16T02:23:04.202147,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-16T02:23:04.202147,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-16T02:23:04.202147,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-17T02:19:26.594069,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-17T02:19:26.594069,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-17T02:19:26.594069,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-17T02:19:26.594069,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-17T02:19:26.594069,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-17T02:19:26.594069,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-17T02:19:26.594069,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-17T02:19:26.594069,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-17T02:19:26.594069,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-17T02:19:26.594069,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-17T02:19:26.594069,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-17T02:19:26.594069,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-17T02:19:26.594069,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-17T02:19:26.594069,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-17T02:19:26.594069,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-17T02:19:26.594069,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-18T02:15:23.001538,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-18T02:15:23.001538,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-18T02:15:23.001538,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-18T02:15:23.001538,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-18T02:15:23.001538,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-18T02:15:23.001538,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-18T02:15:23.001538,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-18T02:15:23.001538,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-18T02:15:23.001538,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-18T02:15:23.001538,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-18T02:15:23.001538,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-18T02:15:23.001538,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-18T02:15:23.001538,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-18T02:15:23.001538,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-18T02:15:23.001538,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-18T02:15:23.001538,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-19T02:16:25.335265,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-19T02:16:25.335265,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-19T02:16:25.335265,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-19T02:16:25.335265,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-19T02:16:25.335265,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-19T02:16:25.335265,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-19T02:16:25.335265,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-19T02:16:25.335265,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-19T02:16:25.335265,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-19T02:16:25.335265,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-19T02:16:25.335265,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-19T02:16:25.335265,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-19T02:16:25.335265,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-19T02:16:25.335265,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-19T02:16:25.335265,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-19T02:16:25.335265,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-20T02:16:47.940650,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-20T02:16:47.940650,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-20T02:16:47.940650,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-20T02:16:47.940650,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-20T02:16:47.940650,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-20T02:16:47.940650,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-20T02:16:47.940650,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-20T02:16:47.940650,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-20T02:16:47.940650,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-20T02:16:47.940650,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-20T02:16:47.940650,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-20T02:16:47.940650,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-20T02:16:47.940650,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-20T02:16:47.940650,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-20T02:16:47.940650,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-20T02:16:47.940650,squirrel-girl,console,competitive,silver,3.33,46.56
2025-02-21T02:17:07.196915,squirrel-girl,pc,quickplay,all,3.76,48.22
2025-02-21T02:17:07.196915,squirrel-girl,pc,competitive,all,2.93,44.78
2025-02-21T02:17:07.196915,squirrel-girl,pc,competitive,bronze,3.41,45.55
2025-02-21T02:17:07.196915,squirrel-girl,pc,competitive,diamond,1.69,41.83
2025-02-21T02:17:07.196915,squirrel-girl,pc,competitive,gold,2.65,44.02
2025-02-21T02:17:07.196915,squirrel-girl,pc,competitive,grandmaster and above,1.27,41.57
2025-02-21T02:17:07.196915,squirrel-girl,pc,competitive,platinum,2.05,43.91
2025-02-21T02:17:07.196915,squirrel-girl,pc,competitive,silver,3.09,44.90
2025-02-21T02:17:07.196915,squirrel-girl,console,quickplay,all,3.76,48.22
2025-02-21T02:17:07.196915,squirrel-girl,console,competitive,all,3.23,46.28
2025-02-21T02:17:07.196915,squirrel-girl,console,competitive,bronze,3.16,46.89
2025-02-21T02:17:07.196915,squirrel-girl,console,competitive,diamond,3.01,44.34
2025-02-21T02:17:07.196915,squirrel-girl,console,competitive,gold,3.36,46.03
2025-02-21T02:17:07.196915,squirrel-girl,console,competitive,grandmaster and above,2.33,42.78
2025-02-21T02:17:07.196915,squirrel-girl,console,competitive,platinum,3.18,45.13
2025-02-21T02:17:07.196915,squirrel-girl,console,competitive,silver,3.33,46.56
